,tmb_text,negative,neutral,positive
0,wish,0.0,0.0,1.0
1,,0.0,1.0,0.0
2,no GPU,0.0,1.0,0.0
3,,0.0,1.0,0.0
4,,0.0,1.0,0.0
5,PAIN WHEEL OF,0.623,0.377,0.0
6,GPU THERMAL PASTE UPGRADE,0.0,1.0,0.0
7,Upgrading The MAC STUDIO,0.0,1.0,0.0
8,PLAYSTATION is KING,0.0,1.0,0.0
9,BEAUTIFUL PS5 e,0.0,0.204,0.796
10,2017 JAN7 MONITOR 8K AMD RYZEN muan show our community foruml join ihustechti wwW. .com,0.0,0.864,0.136
11,RADEON 260X R7 REVIEW & UNBOXING,0.0,1.0,0.0
12,,0.0,1.0,0.0
13,HANDS ON RADEON 290X R9,0.0,1.0,0.0
14,,0.0,1.0,0.0
15,,0.0,1.0,0.0
16,,0.0,1.0,0.0
17,,0.0,1.0,0.0
18,,0.0,1.0,0.0
19,,0.0,1.0,0.0
20,how to SKIN WATERMELON a,0.0,1.0,0.0
21,,0.0,1.0,0.0
22,,0.0,1.0,0.0
23,FAKE REAL,0.756,0.244,0.0
24,DOMINO ROBOT,0.0,1.0,0.0
25,,0.0,1.0,0.0
26,EGG DROP TRICKS,0.783,0.217,0.0
27,SCIENCE SECRETS,0.0,1.0,0.0
28,STEALING BASEBALL SIGNS STEAL,0.775,0.225,0.0
29,Zipline,0.0,1.0,0.0
30,ICE CREAM SAFI,0.0,1.0,0.0
31,,0.0,1.0,0.0
32,,0.0,1.0,0.0
33,SOCIAL EXPERIMENT,0.0,1.0,0.0
34,LIVE SURVIVE HOW TO A5 mile FALL with PARACHUTE NO,0.246,0.754,0.0
35,NASA'S PUMPKIN CONTEST,0.0,1.0,0.0
36,SCIENCE TRICK,0.545,0.455,0.0
37,LIVE IS why THE SKY BLUE?,0.0,1.0,0.0
38,NEOEELLE,0.0,1.0,0.0
39,,0.0,1.0,0.0
40,,0.0,1.0,0.0
41,,0.0,1.0,0.0
42,,0.0,1.0,0.0
43,,0.0,1.0,0.0
44,,0.0,1.0,0.0
45,,0.0,1.0,0.0
46,Saw Circular Kickback Killer,0.589,0.411,0.0
47,STATES UNITED COAST GUARD WELCOME ABOARD,0.0,0.303,0.697
48,,0.0,1.0,0.0
49,,0.0,1.0,0.0
50,CAPSIZED,0.0,1.0,0.0
51,FINALLY TOLD HER,0.0,1.0,0.0
52,,0.0,1.0,0.0
53,,0.0,1.0,0.0
54,,0.0,1.0,0.0
55,2014 NOT FORGOTTEN,0.0,0.475,0.525
56,chase to ay,0.0,1.0,0.0
57,,0.0,1.0,0.0
58,rtistic es,0.0,1.0,0.0
59,,0.0,1.0,0.0
60,and subslantially heavier if,0.0,1.0,0.0
61,IF SPINNING NO SECONDS FOR 5,0.355,0.645,0.0
62,JUPITER BECOMES a SUN IF,0.0,1.0,0.0
63,would either have t 1d bioluminescent become,0.0,1.0,0.0
64,OF YEARS 2 with COVID-19,0.0,1.0,0.0
65,SPINOSAURUS is ALIVE,0.0,0.375,0.625
66,IF BUILDING  es cloud CITIES ON VENUS,0.0,1.0,0.0
67,IF EVERYONE ASLEEP FALLS at THE SAME time,0.0,1.0,0.0
68,IF THE LAST HUMAN ON EARTH,0.0,1.0,0.0
69,IF DRINKING RI LAKI NATRON,0.0,1.0,0.0
70,IF HIDDEN PLANET in THE SOLAR SYSTEM,0.0,1.0,0.0
71,IF IVING IN CLOSED a BIOSPHERE,0.0,1.0,0.0
72,STOPPED WE if BURNING FOSSIL FUELS TODAY IF,0.273,0.727,0.0
73,IF DRAINING THE LARGEST ATOLL,0.0,1.0,0.0
74,IF LONGEST TONGUE WORLD IN THE,0.0,1.0,0.0
75,IF MASSIVE BED BUGS YOUR in,0.0,1.0,0.0
76,IF COULD we STARI AGAIN?,0.0,1.0,0.0
77,JUPITER'S NEW LIFE IF,0.0,1.0,0.0
78,,0.0,1.0,0.0
