,vidid,title,tmblink,views,channelName,channelSubs,channelTotalViews
124,GVRDGQhoEYQ,Dr. Sara Gottfried: How to Optimize Female Hormone Health for Vitality & Longevity | Huberman Lab,https://i.ytimg.com/vi/GVRDGQhoEYQ/hqdefault.jpg,1393727,Andrew Huberman,3840000,159875735
125,31wjVhCcI5Y,Erasing Fears & Traumas Based on the Modern Neuroscience of Fear | Huberman Lab Podcast #49,https://i.ytimg.com/vi/31wjVhCcI5Y/hqdefault.jpg,1228707,Andrew Huberman,3840000,159875735
126,-wIt_WsJGfw,"Dr. Sam Harris: Using Meditation to Focus, View Consciousness & Expand Your Mind | Huberman Lab 105",https://i.ytimg.com/vi/-wIt_WsJGfw/hqdefault.jpg,1026363,Andrew Huberman,3840000,159875735
127,uXs-zPc63kM,Nicotine’s Effects on the Brain & Body & How to Quit Smoking or Vaping | Huberman Lab Podcast #90,https://i.ytimg.com/vi/uXs-zPc63kM/hqdefault.jpg,919844,Andrew Huberman,3840000,159875735
128,KVjfFN89qvQ,The Science of Gratitude & How to Build a Gratitude Practice | Huberman Lab Podcast #47,https://i.ytimg.com/vi/KVjfFN89qvQ/hqdefault.jpg,775887,Andrew Huberman,3840000,159875735
129,GLgKkG44MGo,Dr. Jack Feldman: Breathing for Mental & Physical Health & Performance | Huberman Lab Podcast #54,https://i.ytimg.com/vi/GLgKkG44MGo/hqdefault.jpg,672780,Andrew Huberman,3840000,159875735
130,iw97uvIge7c,Using Caffeine to Optimize Mental & Physical Performance | Huberman Lab Podcast 101,https://i.ytimg.com/vi/iw97uvIge7c/hqdefault.jpg,608753,Andrew Huberman,3840000,159875735
131,EQ3GjpGq5Y8,The Science & Health Benefits of Deliberate Heat Exposure | Huberman Lab Podcast #69,https://i.ytimg.com/vi/EQ3GjpGq5Y8/hqdefault.jpg,527246,Andrew Huberman,3840000,159875735
132,RgAcOqVRfYA,"Science of Social Bonding in Family, Friendship & Romantic Love | Huberman Lab Podcast #51",https://i.ytimg.com/vi/RgAcOqVRfYA/hqdefault.jpg,465309,Andrew Huberman,3840000,159875735
133,LYYyQcAJZfk,Science-Supported Tools to Accelerate Your Fitness Goals | Huberman Lab Podcast,https://i.ytimg.com/vi/LYYyQcAJZfk/hqdefault.jpg,404974,Andrew Huberman,3840000,159875735
134,fcxjwA4C4Cw,Dr. Robin Carhart-Harris: The Science of Psychedelics for Mental Health | Huberman Lab Podcast,https://i.ytimg.com/vi/fcxjwA4C4Cw/hqdefault.jpg,335542,Andrew Huberman,3840000,159875735
135,xaE9XyMMAHY,Supercharge Exercise Performance & Recovery with Cooling | Huberman Lab Podcast #19,https://i.ytimg.com/vi/xaE9XyMMAHY/hqdefault.jpg,302851,Andrew Huberman,3840000,159875735
136,Nr5xb-QCBGA,Dr. Casey Halpern: Biology & Treatments for Compulsive Eating & Behaviors | Huberman Lab Podcast #91,https://i.ytimg.com/vi/Nr5xb-QCBGA/hqdefault.jpg,230947,Andrew Huberman,3840000,159875735
137,uxZFl4BDOGk,"Dr. David Anderson: The Biology of Aggression, Mating, & Arousal | Huberman Lab Podcast #89",https://i.ytimg.com/vi/uxZFl4BDOGk/hqdefault.jpg,182223,Andrew Huberman,3840000,159875735
138,FE0lTEUa7EY,"AMA #8: Balancing Caffeine, Decision Fatigue & Social Isolation",https://i.ytimg.com/vi/FE0lTEUa7EY/hqdefault.jpg,141134,Andrew Huberman,3840000,159875735
139,HoH93judXmE,"AMA #9: Kratom Risks, Does Infrared Sauna Work & Journaling Benefits",https://i.ytimg.com/vi/HoH93judXmE/hqdefault.jpg,68200,Andrew Huberman,3840000,159875735
140,wX75Z-4MEoM,"you need to learn Virtual Machines RIGHT NOW!! (Kali Linux VM, Ubuntu, Windows)",https://i.ytimg.com/vi/wX75Z-4MEoM/hqdefault.jpg,7501953,NetworkChuck,3240000,183283187
141,bXCeFPNWjsM,how to get remote access to your hacking targets // reverse shells with netcat (Windows and Linux!!),https://i.ytimg.com/vi/bXCeFPNWjsM/hqdefault.jpg,1975175,NetworkChuck,3240000,183283187
142,S7MNX_UD7vY,FREE CCNA // What is a Network? // Day 0,https://i.ytimg.com/vi/S7MNX_UD7vY/hqdefault.jpg,1302647,NetworkChuck,3240000,183283187
143,W2tTsjkX76o,make CRAZY money in tech (top 5 Entry-Level Certs),https://i.ytimg.com/vi/W2tTsjkX76o/hqdefault.jpg,898320,NetworkChuck,3240000,183283187
144,E25SKW4-8wQ,If I had to start over...which IT path would I take?,https://i.ytimg.com/vi/E25SKW4-8wQ/hqdefault.jpg,700115,NetworkChuck,3240000,183283187
145,U7e-mcJdZok,create the ULTIMATE hacking lab in 5min!! (Docker Containers STREAMING Kali Linux to your browser),https://i.ytimg.com/vi/U7e-mcJdZok/hqdefault.jpg,519833,NetworkChuck,3240000,183283187
146,EywIAz8fPnY,CompTIA or Cisco? - Should I get the CompTIA A+/Network+ OR the Cisco CCNA/CCENT - Microsoft MCSA?,https://i.ytimg.com/vi/EywIAz8fPnY/hqdefault.jpg,416890,NetworkChuck,3240000,183283187
147,e2h_BreIxaQ,HACK your way into a job (no experience required),https://i.ytimg.com/vi/e2h_BreIxaQ/hqdefault.jpg,313803,NetworkChuck,3240000,183283187
148,GE5J_26Ut1Q,how a social engineering attack DESTROYED Twitter (feat. Marcus Hutchins) // Twitter Hack 2020,https://i.ytimg.com/vi/GE5J_26Ut1Q/hqdefault.jpg,238149,NetworkChuck,3240000,183283187
149,799uhYUxtvA,build your own browser (crazy SECURE),https://i.ytimg.com/vi/799uhYUxtvA/hqdefault.jpg,196470,NetworkChuck,3240000,183283187
150,dfEWw95coak,7 CCNA CCNP Study Tips for the New Year - 2017!!,https://i.ytimg.com/vi/dfEWw95coak/hqdefault.jpg,154563,NetworkChuck,3240000,183283187
151,RYAPpHEcddw,i quit my job...,https://i.ytimg.com/vi/RYAPpHEcddw/hqdefault.jpg,118662,NetworkChuck,3240000,183283187
152,5_PuobVHeLg,Become an IT Project Manager (make a TON of money!) feat. Jeremy Cioara - PMP Certification,https://i.ytimg.com/vi/5_PuobVHeLg/hqdefault.jpg,95198,NetworkChuck,3240000,183283187
153,Rxx3UtLn15g,how to become a Network Developer at Amazon (AWS),https://i.ytimg.com/vi/Rxx3UtLn15g/hqdefault.jpg,74659,NetworkChuck,3240000,183283187
154,Zlc12P4F51c,How Long Does It Take to Become a Network Engineer? - CCNA | CCNP,https://i.ytimg.com/vi/Zlc12P4F51c/hqdefault.jpg,66640,NetworkChuck,3240000,183283187
155,7FERCp7AtXg,i'm feeling stupid today,https://i.ytimg.com/vi/7FERCp7AtXg/hqdefault.jpg,52958,NetworkChuck,3240000,183283187
156,N-YNANU4fOo,you DO NOT need College / University!!,https://i.ytimg.com/vi/N-YNANU4fOo/hqdefault.jpg,35168,NetworkChuck,3240000,183283187
157,7UkkrNoZUwU,"Using Arduino, Raspberry Pi and Python to Monitor Cisco Router - #DEVNET CCNA",https://i.ytimg.com/vi/7UkkrNoZUwU/hqdefault.jpg,25731,NetworkChuck,3240000,183283187
158,8pbu-uJlJ9E,Add a Hunt Group Login/Logout Button to a Cisco Phone - NetworkChuck,https://i.ytimg.com/vi/8pbu-uJlJ9E/hqdefault.jpg,16992,NetworkChuck,3240000,183283187
159,epgVJT9Wa-k,WHO WON? - CCNA GiveAWAY - INE BUNDLE!!,https://i.ytimg.com/vi/epgVJT9Wa-k/hqdefault.jpg,1936,NetworkChuck,3240000,183283187
160,jJL0XoNBaac,The Assassin's Teapot Is Weird,https://i.ytimg.com/vi/jJL0XoNBaac/hqdefault.jpg,42945274,Steve Mould,2320000,367511929
161,3AXupc7oE-g,Pop-Pop Boats Are Weirder Than You Think,https://i.ytimg.com/vi/3AXupc7oE-g/hqdefault.jpg,7730753,Steve Mould,2320000,367511929
162,TNuzi-jMXoY,The Band Should Slip Off But It Does The Opposite!,https://i.ytimg.com/vi/TNuzi-jMXoY/hqdefault.jpg,4382738,Steve Mould,2320000,367511929
163,MUJmKl7QfDU,What If Swings Had Springs Instead Of Ropes: Autoparametric Resonance,https://i.ytimg.com/vi/MUJmKl7QfDU/hqdefault.jpg,2765379,Steve Mould,2320000,367511929
164,w2iTCm0xpDc,A better description of entropy,https://i.ytimg.com/vi/w2iTCm0xpDc/hqdefault.jpg,2084185,Steve Mould,2320000,367511929
165,BwfkZ38sae0,Why my dog doesn’t like our plasma lighter,https://i.ytimg.com/vi/BwfkZ38sae0/hqdefault.jpg,1670440,Steve Mould,2320000,367511929
166,u5InZ6iknUM,Sailing Faster Than The Wind - How Is That Even Possible?,https://i.ytimg.com/vi/u5InZ6iknUM/hqdefault.jpg,1354833,Steve Mould,2320000,367511929
167,a6jJzOc9gaE,5 Interesting Things,https://i.ytimg.com/vi/a6jJzOc9gaE/hqdefault.jpg,1146420,Steve Mould,2320000,367511929
168,qwPg2Dmh-6k,The Bizarre Way We Track Fake Virus Particles That Shouldn't Work,https://i.ytimg.com/vi/qwPg2Dmh-6k/hqdefault.jpg,882261,Steve Mould,2320000,367511929
169,CqB95rj_txI,Interaural time difference and how to find your phone instantly,https://i.ytimg.com/vi/CqB95rj_txI/hqdefault.jpg,688209,Steve Mould,2320000,367511929
170,8bXhsUs-ohw,How to film the inside of a microwave (2 ways),https://i.ytimg.com/vi/8bXhsUs-ohw/hqdefault.jpg,584336,Steve Mould,2320000,367511929
171,3X6qEE2fHvE,12 magnets show how viruses are built,https://i.ytimg.com/vi/3X6qEE2fHvE/hqdefault.jpg,450107,Steve Mould,2320000,367511929
172,BgBh4Pb9Z4Q,How ice water makes hot water boil,https://i.ytimg.com/vi/BgBh4Pb9Z4Q/hqdefault.jpg,334710,Steve Mould,2320000,367511929
173,RKjovflET48,Shine a laser through the new £5 note,https://i.ytimg.com/vi/RKjovflET48/hqdefault.jpg,299471,Steve Mould,2320000,367511929
174,w0VA9kbIL3g,Why a Watch Beep Is Exactly 2¹¹ Hz (2048 Hz),https://i.ytimg.com/vi/w0VA9kbIL3g/hqdefault.jpg,224997,Steve Mould,2320000,367511929
175,gEu0Fnt0VbM,The Mad Hatterpillar,https://i.ytimg.com/vi/gEu0Fnt0VbM/hqdefault.jpg,159698,Steve Mould,2320000,367511929
176,S7yZkHz4KLw,How an Ames Room works,https://i.ytimg.com/vi/S7yZkHz4KLw/hqdefault.jpg,100702,Steve Mould,2320000,367511929
177,3wKNAPJ-0ug,What happens when you heat a plastic cup?,https://i.ytimg.com/vi/3wKNAPJ-0ug/hqdefault.jpg,60447,Steve Mould,2320000,367511929
178,JuGiZdxR2pU,reaLD 3D glasses filter with a linear polarising filter,https://i.ytimg.com/vi/JuGiZdxR2pU/hqdefault.jpg,28704,Steve Mould,2320000,367511929
179,0BvEUmpnp9Q,Steve Mould on Blue Peter,https://i.ytimg.com/vi/0BvEUmpnp9Q/hqdefault.jpg,10118,Steve Mould,2320000,367511929
180,P8OopBgony4,iPhone X vs Samsung Galaxy Note 8,https://i.ytimg.com/vi/P8OopBgony4/hqdefault.jpg,4610498,SuperSaf,1950000,408775435
181,JMExFdJknt8,"Best Smartphones of 2020 YOUTUBER Edition ft. MKBHD, Linus Tech Tips, Austin Evans + More",https://i.ytimg.com/vi/JMExFdJknt8/hqdefault.jpg,1340026,SuperSaf,1950000,408775435
182,u9D8eHolaN0,Samsung Galaxy Note 20 Ultra vs iPhone 11 Pro Max,https://i.ytimg.com/vi/u9D8eHolaN0/hqdefault.jpg,899900,SuperSaf,1950000,408775435
183,4TsD0RwvocU,OnePlus Nord 2 vs OnePlus 9 - Which should you buy?,https://i.ytimg.com/vi/4TsD0RwvocU/hqdefault.jpg,684596,SuperSaf,1950000,408775435
184,JZP54ioTBTU,Surprise Box from BLACKBERRY,https://i.ytimg.com/vi/JZP54ioTBTU/hqdefault.jpg,542690,SuperSaf,1950000,408775435
185,6hk0Kr2kt8o,iPhone 14 Pro/Pro Max Unboxing - Deep Purple vs Space Black,https://i.ytimg.com/vi/6hk0Kr2kt8o/hqdefault.jpg,447290,SuperSaf,1950000,408775435
186,kVqJQdLBdF8,BlackBerry Motion UNBOXING,https://i.ytimg.com/vi/kVqJQdLBdF8/hqdefault.jpg,372252,SuperSaf,1950000,408775435
187,Ywd1Tt5IWto,The TRUTH About The Samsung Galaxy S20 Ultra: Two Months Later,https://i.ytimg.com/vi/Ywd1Tt5IWto/hqdefault.jpg,316300,SuperSaf,1950000,408775435
188,tdeaI_fUWfQ,The Truth About The Samsung Galaxy Z Fold 4,https://i.ytimg.com/vi/tdeaI_fUWfQ/hqdefault.jpg,272484,SuperSaf,1950000,408775435
189,y6IQm3qzS4A,NOW TV - Unboxing & Set up test #NOWTVBox - £10 Smart TV Box,https://i.ytimg.com/vi/y6IQm3qzS4A/hqdefault.jpg,230286,SuperSaf,1950000,408775435
190,oURhS4du4NA,The Secret Behind 2022 Flagship Smartphones!,https://i.ytimg.com/vi/oURhS4du4NA/hqdefault.jpg,206721,SuperSaf,1950000,408775435
191,J7tR0uR4T08,Sony Xperia Z5 Gold Unboxing,https://i.ytimg.com/vi/J7tR0uR4T08/hqdefault.jpg,176301,SuperSaf,1950000,408775435
192,iiXQ9Z8uq3o,108 SMARTPHONE GIVEAWAY!,https://i.ytimg.com/vi/iiXQ9Z8uq3o/hqdefault.jpg,151584,SuperSaf,1950000,408775435
193,ApFFSa-DmjY,Oppo F1 Plus Unboxing,https://i.ytimg.com/vi/ApFFSa-DmjY/hqdefault.jpg,126400,SuperSaf,1950000,408775435
194,REkyWae-F40,ROG Phone 6 Pro Unboxing - The Ultimate Gaming Smartphone,https://i.ytimg.com/vi/REkyWae-F40/hqdefault.jpg,102633,SuperSaf,1950000,408775435
195,VwdQlNAO7XU,iPhone 6 Plus vs LG G3,https://i.ytimg.com/vi/VwdQlNAO7XU/hqdefault.jpg,80413,SuperSaf,1950000,408775435
196,ujIAI86sIxM,LG G Flex 2 - Unboxing - SuperSaf TV,https://i.ytimg.com/vi/ujIAI86sIxM/hqdefault.jpg,61430,SuperSaf,1950000,408775435
197,x6Brhk801Os,Nokia Lumia 830 - Review,https://i.ytimg.com/vi/x6Brhk801Os/hqdefault.jpg,42409,SuperSaf,1950000,408775435
198,YQCXeFHDwPA,OnePlus 3 Unboxing & First Impressions (Retail Version),https://i.ytimg.com/vi/YQCXeFHDwPA/hqdefault.jpg,18703,SuperSaf,1950000,408775435
199,sSZjK9tinqU,"20,000 Subscribers Giveaway! WIN a $50 Minisuit Gift Voucher [CLOSED]",https://i.ytimg.com/vi/sSZjK9tinqU/hqdefault.jpg,1781,SuperSaf,1950000,408775435
200,aFlromB6SnU,Demon Core - The True Story,https://i.ytimg.com/vi/aFlromB6SnU/hqdefault.jpg,12890630,Kyle Hill,1830000,216481851
201,uJ8cYheR5xo,SL-1: America's First Nuclear Disaster,https://i.ytimg.com/vi/uJ8cYheR5xo/hqdefault.jpg,3408082,Kyle Hill,1830000,216481851
202,oDqICb-Dme8,How DEAD SPACE Solves the Fermi Paradox,https://i.ytimg.com/vi/oDqICb-Dme8/hqdefault.jpg,1744335,Kyle Hill,1830000,216481851
203,bgV26ol51UM,Autism is my superpower,https://i.ytimg.com/vi/bgV26ol51UM/hqdefault.jpg,1124507,Kyle Hill,1830000,216481851
204,e-Ow7ln9zRM,How to Survive* a Nuclear Blast,https://i.ytimg.com/vi/e-Ow7ln9zRM/hqdefault.jpg,722857,Kyle Hill,1830000,216481851
205,KGBMf-U-uD0,Are Warp Drives Possible? (feat Dr. Miguel Alcubierre),https://i.ytimg.com/vi/KGBMf-U-uD0/hqdefault.jpg,544555,Kyle Hill,1830000,216481851
206,FiyXFGW2swM,How Mandalorian Armor Really Works,https://i.ytimg.com/vi/FiyXFGW2swM/hqdefault.jpg,484622,Kyle Hill,1830000,216481851
207,SNfZDT_5Gi0,"Can 1,000,000,000,000 Lions Defeat the Sun?",https://i.ytimg.com/vi/SNfZDT_5Gi0/hqdefault.jpg,395896,Kyle Hill,1830000,216481851
208,kEDCE2nOQeM,Quantum Levitation - Why Superconductors Float,https://i.ytimg.com/vi/kEDCE2nOQeM/hqdefault.jpg,325981,Kyle Hill,1830000,216481851
209,uJeMqniVe8o,What are SONIC BLACK HOLES?,https://i.ytimg.com/vi/uJeMqniVe8o/hqdefault.jpg,276753,Kyle Hill,1830000,216481851
210,xyrL7--OFHc,Will REAL LAVA Destroy the One Ring?,https://i.ytimg.com/vi/xyrL7--OFHc/hqdefault.jpg,205712,Kyle Hill,1830000,216481851
211,GGNjRbUgAIs,Did a few muons just change physics? | [OFFICE HOURS] Podcast #048,https://i.ytimg.com/vi/GGNjRbUgAIs/hqdefault.jpg,155072,Kyle Hill,1830000,216481851
212,x-sa2ELAjYY,🔴 Oops “Anti-5G” products are dangerously radioactive | [OFFICE HOURS] Podcast 077,https://i.ytimg.com/vi/x-sa2ELAjYY/hqdefault.jpg,111899,Kyle Hill,1830000,216481851
213,skZbuhUMtcQ,Is Elon Musk's Neuralink the Future? | [OFFICE HOURS] Podcast #020,https://i.ytimg.com/vi/skZbuhUMtcQ/hqdefault.jpg,98376,Kyle Hill,1830000,216481851
214,iyY8QeO_yb4,Why Moon Wobble Means Disaster | [OFFICE HOURS] Podcast 061,https://i.ytimg.com/vi/iyY8QeO_yb4/hqdefault.jpg,84211,Kyle Hill,1830000,216481851
215,_3R4usdMs9Q,"Giant ""Murder Hornets"" Explained  | Office Hours Podcast #004",https://i.ytimg.com/vi/_3R4usdMs9Q/hqdefault.jpg,70405,Kyle Hill,1830000,216481851
216,r4gaeXzLNDo,What Uranium Looks Like in a Cloud Chamber,https://i.ytimg.com/vi/r4gaeXzLNDo/hqdefault.jpg,63241,Kyle Hill,1830000,216481851
217,5RpGoOS68y4,"🔴 Nuclear batteries, Elon buys Twitter, Chernobyl anniversary | [OFFICE HOURS] Podcast 088",https://i.ytimg.com/vi/5RpGoOS68y4/hqdefault.jpg,52343,Kyle Hill,1830000,216481851
218,ZGJnFFKqfr0,🔴LIVE - Should we send this message to aliens? | [OFFICE HOURS] Podcast 085,https://i.ytimg.com/vi/ZGJnFFKqfr0/hqdefault.jpg,43876,Kyle Hill,1830000,216481851
219,XfXMjyXvA-o,Simple Graph Explains Wearing Masks | [OFFICE HOURS] #006 Highlight,https://i.ytimg.com/vi/XfXMjyXvA-o/hqdefault.jpg,27061,Kyle Hill,1830000,216481851
220,nduMTX86Zl0,Running Doom on a Calculator! TI-83 Plus Games Tutorial,https://i.ytimg.com/vi/nduMTX86Zl0/hqdefault.jpg,6889886,LGR,1670000,529638392
221,9mLI6Sq4eFc,LGR - The Sims 4 Parenthood Review,https://i.ytimg.com/vi/9mLI6Sq4eFc/hqdefault.jpg,1395617,LGR,1670000,529638392
222,1DAlh79G4XA,Unboxing an UNUSED Dreamcast Console! 23 Years Later,https://i.ytimg.com/vi/1DAlh79G4XA/hqdefault.jpg,943329,LGR,1670000,529638392
223,eO89FPclQjk,LGR Oddware - Demon Destroyer Gunn,https://i.ytimg.com/vi/eO89FPclQjk/hqdefault.jpg,745618,LGR,1670000,529638392
224,o7W6hv4kcvg,Registering WinRAR in 2021: How Far Back Does It Work?,https://i.ytimg.com/vi/o7W6hv4kcvg/hqdefault.jpg,633661,LGR,1670000,529638392
225,tqnIa4rXK_c,LGR - Sinclair ZX Spectrum 48k Computer Review,https://i.ytimg.com/vi/tqnIa4rXK_c/hqdefault.jpg,531112,LGR,1670000,529638392
226,9UclHrIIaYA,Apple’s MS-DOS Compatible 486 Macintosh from 1995!,https://i.ytimg.com/vi/9UclHrIIaYA/hqdefault.jpg,453578,LGR,1670000,529638392
227,y3h8mP0Nvqk,LGR - Star Wars X-Wing vs. TIE Fighter - PC Game Review,https://i.ytimg.com/vi/y3h8mP0Nvqk/hqdefault.jpg,391841,LGR,1670000,529638392
228,b4Ztp5Vw7Hk,LGR - Bombshell - PC Game Review,https://i.ytimg.com/vi/b4Ztp5Vw7Hk/hqdefault.jpg,337805,LGR,1670000,529638392
229,7U-tRSYY3jU,LGR Plays - The Sims 4 [Pool Party],https://i.ytimg.com/vi/7U-tRSYY3jU/hqdefault.jpg,314144,LGR,1670000,529638392
230,fWHSA-w9wc8,LGR - Faery Tale Adventure: Book I - DOS PC Game Review,https://i.ytimg.com/vi/fWHSA-w9wc8/hqdefault.jpg,280076,LGR,1670000,529638392
231,mB43U9YCRJc,LGR - Chip's Challenge - PC Game Review,https://i.ytimg.com/vi/mB43U9YCRJc/hqdefault.jpg,244861,LGR,1670000,529638392
232,vLWfcLaEr5s,LGR - The Truth Behind Christmas Shopper Simulator,https://i.ytimg.com/vi/vLWfcLaEr5s/hqdefault.jpg,207589,LGR,1670000,529638392
233,fooFhfVUEI4,"LGR - Hologram Time Traveler - Arcade, PC, DVD Game Review",https://i.ytimg.com/vi/fooFhfVUEI4/hqdefault.jpg,180467,LGR,1670000,529638392
234,1yB-O4TFIz8,AdLib Sound Card Over Parallel! The OPL2LPT,https://i.ytimg.com/vi/1yB-O4TFIz8/hqdefault.jpg,153417,LGR,1670000,529638392
