,vidid,title_text,title_length,tmb_text,tmb_length,composite_sentiment
431,5-7aWzO8jmw,Lesson learned: wear ear protection.,36,Notyet.,7,-0.081
432,XwcCLUornrE,The future we want may not be in the technology we build but in our willingness to look at Self.,96,nan,0,0.0
433,nq8cSJQCn6o,Life would change if we didn't age.,35,DEMONSTRATING DEM ING,21,0.2165
434,MpvnKlxMIww,"People often ask me if I have food 'cheat days'? Don't eliminate 99% of choice, eliminate 100%",94,TOGET PEOPLELIKE KE,19,-0.09
435,fDBEEAZoP_8,Every day I work out for an hour. Full routine on YT.,53,inthegym,8,0.0
436,kMvkJ0vIxHY,Hustle culture is a past and dying era. A new era of being human is here.,73,having,6,0.0
437,1qtHRk6XM4c,Proof that I am an AI: even my tears are manufactured.,54,cnis on nerve,13,0.0645
438,BSo81AJoX50,This HRV (Heart Rate Variability) device can help your body get into chill mode.,80,&30minutes,10,0.1
439,dqsKxoPeSNA,Blueprint wasn't conceived out of fear of death; it is an effort to find things that don't yet exist,100,playgames,9,0.134
440,LASTN9MbOno,How to Retire on ETHEREUM by 2030 or sooner,43,Howto RETIREon ETHEREUM,23,0.0
441,Q4TAfmcQDtA,"How to Retire on Ethereum with Staking! What it takes, impact of ETH2.0 and best methods",88,STAKING ETHEREUM WORTHIT?,25,0.115
442,R9cKhCycWFs,What to Expect in Feb! Bitcoin ETH SOL ALGO Phantom FTX and who NOT to listen to,80,CRYPTO FEBRUARY what to EXPEC b,31,0.0
443,6qnP9Wygr3U,Quick NY Crypto Update! That's a wrap + a few new targets #BTC #SOL #ETH #FTM #AVAX #LUNA #Tesla,96,NYE LIVE,8,-0.1135
444,8ZT6VOljHU4,"Macro, Markets, Options Action, Adoption + what NOT to do",57,INVESTANSWERS QUICKIE b,23,0.0
445,6mdWUueL0kY,"Bitcoin, Gold, Metaverse, P2E, ADA, Tesla, Google, Coinbase and more",68,NVESTANSWVER QUICKIE b TGC 干,28,0.0
446,ffl7JZA964A,"IA Quickie: Talking Crypto, Valuations, Performance + unreal Tesla PEG",70,NVESTANSWER QUICKIE b ato,25,0.0
447,E3paHdlRrqw,Crypto: Who Thrived During the Bear Market! As per Messari State of Crypto,74,TAKEAWAYS my CSSA STATE of CRYPTO sy SX 5 5 a,45,0.0
448,e6VeFz-Aw8M,Avalanche: How to Calculate Inflation in the Cryptoverse + why it is Important,78,AVALANCHE HLAUTO UNCOVERED CRYPTO,33,-0.151
449,E3d9o3ZlxLw,How to DCA - the BEST way!,26,B DCA ONSTEROIDS,16,0.08
450,qnlVzPrOFyM,How to Convince Family & Friends to Invest In Bitcoin!,54,how to CONVINCE ANYONE to BUY e BITCOIN,39,0.1565
451,fjGeYBpF0z8,"The link between Power, Energy, FIAT and Bitcoin ( Digital Energy)",66,WILL B = POWER?,15,0.0945
452,11mlvImffNU,Was there a Coordinated Crypto Attack?,38,CORLOINAT CRYPTO ATTACK?,24,-0.304
453,9t-a0ZMc87A,🔥 OCTA: The Next Bitcoin Catalyst Igniting the Crypto World!,60,NEXTBTC CATALYST B I ONCHAINTA,30,0.0
454,NSdk7Pa50WI,"🚀 OCTA LIVE: Crypto Rises, FUD Fades & Regs Rage on!💥",53,FUD FADES RISES CRYPTC B CHAIN ON TA,36,-0.1295
455,mMl2CxW392U,"🚀 OCTA: BTC, Proxies, Bonds, Tesla, MFs & Metrics 💹",51,"BTC,BONDS &PROXIES B 3 ONCHAIN TA",33,0.1075
456,S2ctWfOo81o,"IA Q&A: Bitcoin vs Ethereum, Binance, ARKG, Options, Trade Tracking, Plan B and more",84,INVESTANSWERS WEEKL qea B,25,0.036000000000000004
457,Q--kQThif4Y,🔍Great Bitcoin Mystery: How Many Coins Remain?,46,B LOST COINS,12,-0.3485
458,dKX-px0BGlw,Barron's Turning Bullish on Tesla? Puff Piece or Hit Piece?,59,BARRON'S TURNING BULLISH?,25,0.0
459,YU9HOU3_twE,Sunday musings re BTC ETH BITW ETHE GBTC and Microstrategy. Monday action will be fun to watch!,95,SUNDAY CRYPTO THOUGHTS,22,0.0915
460,Zzyu8cCXXGE,This costs MORE than a PS5! 🤯,29,PS1,3,0.0
461,3w-W__97NtI,I Bought Amazon’s BEST SELLING Gaming PC!,41,76,2,0.2555
462,x8cYgkIQyes,"I spent $10,000 on this…",24,dbuilt the MO eus dre MOST POWERFUI stsi aamn ERF FUL AVAILABLE SYSTE sy e,74,0.0
463,kuzsr1oDeiU,Trying 27 GREATEST Xbox Hacks Of All Time!,42,nan,0,0.0
464,3BuEQvhcfBc,World's FASTEST Xbox Controller! 😱,34,Pads Gaming Standard ads Stang,30,0.0
465,7VzZMEHV3RE,I Bought the CHEAPEST Gaming Mouse on Amazon!,45,nan,0,0.0
466,2NLVRiomU84,I keep getting asked about this… 😱,34,CABLEGUYS YS,12,0.0
467,pn-EsLaaMRk,I Bought my FIRST Gaming Laptop 🤯,33,nan,0,0.0
468,nVQeRFg-b4s,3 Unbelievable PlayStation 5 Features!,38,nan,0,0.0
469,KMmACcusoag,The CHEAPEST PlayStation Upgrade! 🤯,35,REMOVING THECOMERS,18,0.0
470,YQCgWv6ub14,3 NEW PS5 Features you NEED to KNOW!,36,nan,0,0.0
471,kFERh_yzXOg,This Xbox Product is HILARIOUS! 😂,33,nan,0,0.241
472,sZUMe3wQAI0,Upgrading my Racing Gaming Setup! 🔥🤯,36,these are MY FAVOURITE GAMING nvs m,35,0.1945
473,g7yFOKX_aXg,AVOID THIS iPad Pro Case!! - Logitech Combo Touch vs Apple Magic Keyboard,73,WORST logitech VS iPADCASE EVER!!,33,-0.259
474,E5PdoGxtba0,Top 4 CUSTOM Xbox Consoles 😍,28,3,1,0.0
475,szvNX-uY0ww,The GREATEST Xbox Ever Made! 🤯,30,TODAY,5,0.0
476,KiB-MJ75OmI,I Used the PlayStation 5 for 1 Year - Should You Buy One?,57,PS5 REVIEW,10,0.0
477,vmNwA1WPeW4,iPad Mini 6 is AMAZING for Students!!,37,nan,0,0.253
478,PMfRn8MM1tQ,WHY PAY MORE!? Galaxy Tab S8 Ultra vs Galaxy Tab S8,51,$1099 $699,10,-0.0975
479,O9SU7nhMf5s,Samsung Galaxy Z Flip 3 Review - Should You Buy One?,52,ZFLIP,5,0.0
480,5w81-jiW8fs,Upgrading to Windows 98,23,Microsoft Windows98,19,0.0
481,RfE_MreLSIM,How risky is Piracy: Do cracks contain malware?,47,PIRACY MALWARE &,16,-0.1025
482,sMWp1-VmUUs,McAfee Total Protection 2020 Test vs Malware,44,MCAFEE vs MALWARE 15 erzeod,27,0.0
483,D-_pk7v9uD4,Why do they still use Windows XP?,33,NHS CERN Microsoft Windows xp,29,0.3755
484,OIo9aVcrnN8,Do you need antivirus on your phone?,36,ANTIVIRUS ON PHONE?,19,0.1875
485,bccgIUJ0eNQ,Bitdefender Internet Security 2015 review,41,nan,0,0.1875
486,QJePSDaQHKI,Edge vs Chrome: Phishing Test,29,PHISHING TEST,13,-0.161
487,tJJNrtFlPVM,Declutter Windows 10,20,DE-CLUTTER WINDOWS10,20,0.0
488,4sN2yiVzJb4,Free Antivirus Challenge Ep-2 | Best Automated Security,55,ANTIVIRUS FREE CHALLENGE EP-2 TPSI,34,0.05299999999999999
489,1clOfsJVO6k,Black Screen of Death | Mysterious Ransomware,45,BLACK SCREEN OF DEATH?,22,-0.5015
490,IwKvXd4HD_g,Emsisoft Anti Malware 10 review,31,THE PCSECIRITY EHSISOFT,23,0.0
491,alpZeXErFx4,What is Encryption? You use it daily!,37,NEIN NO! NO,11,-0.2845
492,2A1P5E1joes,Ransomware or Cryptominer? Rakhni can choose,44,ssmu sssuuss RANSOMWARE snsssssssu ssss sss,43,0.0
493,em3U6Zz13z0,BitDefender Free antivirus web prevention test 2015,51,2015 Bitdefender Antivirus Free VS threats web,46,0.2845
494,mIPtStSvX9Y,BitDefender Total Security 2013 beta test,41,B R,3,0.162
495,ao3s_yjNKNU,Comodo Internet Security 5.10 preview,37,nan,0,0.1875
496,hN3XUvHi6UQ,XVirus 4.2 Review and comparison with Malwarebytes,50,Yoaresecm JAUA,14,0.0
497,YtIUyrzcFu0,Quicktest: Kaspersky vs Emsisoft Detection ratio test,53,KAIPERSKYS,10,0.1875
498,pcl5xV0IoLc,ESET Smart Security 5 review,28,nan,0,0.359
499,ZOM5im2-8Hc,Channel Update,14,PH Securm The Channe,20,0.0
500,yEAYNX_UCjw,M1147 Advanced Multi-Purpose Round (AMP),40,nan,0,0.1665
501,Do_FSmyj15k,James Webb Space Telescope Deployment Animation,47,nan,0,0.0
502,dwojupdQOhA,UH-60V Black Hawk Cockpit Digitization,38,nan,0,0.159
503,MLt-IIITx2Q,Northrop Grumman DRAKE negating Group 1 drone,45,nan,0,0.0
504,iN2rqUWwF0M,Global Hawk Achieves Historic First at Avalon 2019,50,nan,0,0.0
505,d7IRIh-ZKm0,AN/VIC-5 Enhanced Vehicular Intercom System,43,nan,0,-0.0895
506,q-rPSyvIXsc,Space Tracking and Surveillance System (STSS): Timeline,55,nan,0,0.0
507,cN7vCWlSPBs,"Defining Possible at Northrop Grumman Means Producing the F-35 1,000th Center Fuselage",86,nan,0,0.1665
508,Z7bwPLxo6u8,Increasing a F-35 Pilot's Awareness,35,TRONSNLUTs,10,0.1315
509,8iPLyg1DfrM,Northrop Grumman Corporation: A World Leading Aerospace and Security Company,76,nan,0,-0.1275
510,Bdfz6I_C1H8,NG-11 Mission Overview,22,nan,0,0.143
511,NkaB_n5cUvM,Introducing STEM Flix™  with Science Bob,40,2 e=mc 2TTY (Sookr) SA,22,0.0
512,MYjlS-fuJ2U,Delivery of First Production E-2D Advanced Hawkeye,50,nan,0,0.068
513,oV_9qLteiJY,Overheard at Northrop Grumman | OPIR,36,nan,0,0.0
514,iBfMDTOdv5c,Maritime ISR: Indispensable Situational Awareness For Sea-faring Nations,72,nan,0,0.0
515,FqAR7vx9txg,Cognitive Autonomy: Disaster Relief,35,nan,0,0.125
516,j5vo8XOiXX4,Operation PolarEye: Mini-series Trailer,39,nan,0,0.0
517,XmlHAgO7qSw,OA-5 Mission Preview,20,nan,0,0.256
518,EAy-dCfdhig,"James Webb Space Telescope - ""Behind the Webb"" Trailer - Oct. 2011",66,nan,0,0.0
519,95nOasrbG_k,Northrop Grumman Australia,26,nan,0,0.0
520,04eP-Zb_4mk,I switched to AMD from Nvidia,29,After 1.5 Months... Regret?,27,-0.2415
521,XYY2LIx_38Q,RTX 3070 Ti vs RX 6800 XT: The Ultimate Comparison,50,rtx 3070 ti 6800 rx xt vs Nvidia the is high ta too ti rtx 6800 rx x RTY 30701 of god war D 6800 xt god of war god of war 14aop Dtra god of war 144op ultra 144op ultra DLSS Quality 1440p ultra fsr 2,198,-0.06
522,6oaYlLIbkG4,How to Overclock and Undervolt an AMD GPU (2021) (RX 6800 XT as demonstration),78,FASTER 856- AND COOLER 214,26,0.2285
523,Af0_xgxir_I,"AMD 7900 XTX attacks Nvidia Pricing, Size, Power, Features",58,is it fast But enough? 14 1x 1.6x 1.5x 1.5X 207 erpunk evil resident metro exodus etemal doom village Raytracing,112,-0.044999999999999984
524,Zg47ayjg0Vs,RTX 3080 vs 4090: The Ultrawide Comparison,42,6770 gsoe 59 cpu 72 9486 110 18s8 bdia dboie bodd 86 r 12-15 RTX 3080 4090 VS Worthit 1000 extra S an Ultrawide? for 3440x1440 ultra 3440×1440 D sycn DIEE Quality dlss Ouality,175,-0.04
525,LgncvEmFqAo,Vampire: The Masquerade Bloodhunt System Requirements,53,stsem REQUIREMENTS brencc must Joking! You Be 0 ood sotonn ons sosenes rconne more like TLLL CRSED batlegrounds,111,0.1925
526,3Z3K42dO7Zg,STOP buying the WRONG GPU,25,Price Same rip-off One S a,26,0.0835
527,i1OgFaAwmJU,"RTX 3060 vs Unreal Engine 5.1 in Fortnite with Lumen, Nanite, RT and TSR!",73,dadia 49 3060 9 Unreal Engine 581 Fortnite with naniter lumen RT TSR,68,-0.089
528,jG3wFKjSsSc,Should your next monitor be an Ultrawide?,41,Ultrawide? Go,13,0.1365
529,cKVWZJC0DH4,GPU Prices Continue Crashing!!! More AM4 CPUs still incoming? FSR 2.0 Mods Keep Rolling Out! More!!!,100,GPU News!!! O,13,0.0
530,B5PgvzUEe1o,GPU Prices!!! (GOOD NEWS!!!),28,trend 202 te o ne deege uheel,29,0.2035
531,Cbsxbgf81BU,PC Gaming is DEAD!!! My actual thoughts- not a blues song today ;),66,"Current 30 days last peak Players hours played strike global 911 747 836 482 983 640 084 56 682 518 ATTLEGROUNDS 492 345 70 687 44 jends 240 9617 04 956 690 i Maste Duol 192,014 885 00 of Aut v ri ADEPOINT",205,-0.16899999999999998
532,NgRWAJbgqE8,Intel Arc Alchemist GPUs,24,bbeti ill Ihtel fix w the GPU Market? leedl,43,-0.297
533,HbVQd1GVxEg,I won Newegg Shuffle! Rant,26,NEWEGG SHUFFLE event ended finally i wony INSTRUCTIONS e,56,-0.1315
534,iR16mp-ILnM,Alder Lake,10,THINK before preorderlly you,28,0.0
535,JAJgNSLYrH8,Is AMD selling the Xbox Series X APU to PC builders?,52,nan,0,0.0
536,rMAeHoHAhp8,AMD used an RTX 3080 in their demo!?!? CES Reaction and more GPU and CPU info,77,Nvidia AMD Intel and all disappoint CES at Halo ntinite RVzen 7000 Series Prototype amd Reference Motherboard 2×16GB ODDE a800 GeForce OTV 3080 drive 472.12 on v w 22000 287,173,-0.0455
537,x7WTvFhZJeU,CoD Vanguard Beta Benchmarked | RX 6800 XT | i5 9600K,53,6800 RX XT Benchmarked loue ultra lg Medium 4k low resolution Scaled and 8 1440p 1080p + noar,93,-0.0615
538,TFAxSADJ4e8,AMD vs Nvidia- Who is supplying more GPUs?,42,shipping AMD IS even GPUS?,26,0.0
539,g12reU1pCfM,"Big Navi Leak! Specs, SKUs, and more!",37,BIG NAVI Latest Leaks!!! R,26,-0.166
540,TSe2PrVPQm0,HOW TO EDIT VIDEO on an IPAD LIKE A PRO using LUMA FUSION + FREE GIVEAWAY!!!,76,nan,0,0.202
541,_WngPfHPiLM,HOW TO EDIT VIDEO on an IPAD LIKE A PRO using LUMA FUSION... PART 2 (New 2018 iPad Pro Version) 👌🏼,98,Like A PRo P+.2 Edted wl umaFusion,34,0.2425
542,oZllPwGbx8k,My NEW 2020 BEATMAKING WORKFLOW using AUM - DEEP DIVE TUTORIAL!!,64,号,1,0.0
543,pRM2iWozny4,Henny'z Hangout Episode 019: BEATMAKER 3 .. My Initial Review!,62,hang gt BEATMAKER 3 MYINITIAL REVIEW,36,0.172
544,Z7EvVujcE1M,iPhone 14 Pro - THIS IS ALL YOU NEED FOR CONTENT CREATION IN 2022!!!!,69,thisis THECON IPHON 1a PRO FOR CONTENT cteator,46,0.0
545,LxYjHSIloIo,MY FRUSTRATIONS and WORKAROUNDS WITH iOS 12!!,45,iOS12,5,0.0
546,urFODAvWhJo,SILENT BEATMAKING - EPISODE 004 “ #TEXTUREDLAYERS “ 🎧🎹🥁🎤🔥🔥🔥,59,nan,0,0.0
547,5qFV86WK2EI,MY FAVORITE SUNGLASSES IN 2020 - ROAV EYEWEAR 😎👍🏼🙌🏼,51,nan,0,0.0
548,bx0kXCv9f3U,"Adventures In Beatmaking Episode 005 ""Snowmageddon"" in 4K",57,ES DVENTURES scas cubasepack bea tmaking Snowmageddon 005 Episode,65,0.169
549,RziEjVgIyjk,"Adventures in BeatMaking 016 ""The Alien Residence"" in 4K",56,"ADVENTURES tmaking bea bea TMAKTNC 016 ""The Episode Alien Residence",67,0.0935
550,wMIBZKGkPJ8,Henny'z Hangout Episode 005 : CONSISTENCY vs PERFECTION (GH5 Vlog) in 4K,72,CONSISTENCY stvs  PERFECTION,28,0.5945
551,osVsjs3qHz8,PASSION VS DETERMINATION: A CONVERSATION WITH DJ PNUT,53,PASSION DETERMINATION vs ECOE us tie hanco h CONVERSATION with dj PLIT a,72,0.2215
552,s1A8Tfn_t6U,A BEAT A DAY 😮‍💨 - DAILY iOS BEATMAKING from HENNY THA BIZNESS 008/365,70,keoclieng the dust drilz layup,30,0.0
553,szjbcM9C9GE,A BEAT A DAY 😮‍💨 - DAILY iOS BEATMAKING from HENNY THA BIZNESS 089/365,70,LAI LAYUP drillz pers youl,26,0.0
554,yyfpdVgXULY,A BEAT A DAY 😮‍💨 - DAILY iOS BEATMAKING from HENNY THA BIZNESS 193/365,70,AVO drillz perela,17,0.0
555,YrAx3d7Pb4E,A BEAT A DAY 😮‍💨 - DAILY iOS BEATMAKING from HENNY THA BIZNESS 107/365,70,drillz layup,12,0.0
556,Xzvw8ThbEpI,A BEAT A DAY 😮‍💨 - DAILY iOS BEATMAKING from HENNY THA BIZNESS 130/365,70,LAI LAYUP ddillz,16,0.0
557,ZS63m8ZG2bg,A BEAT A DAY 😮‍💨 - DAILY iOS BEATMAKING from HENNY THA BIZNESS 175/365,70,LAS LAYUP drillz roell cill eeee sdoee youe,43,0.0
558,-34uQZvsdP8,A BEAT A DAY 😮‍💨 - DAILY iOS BEATMAKING from HENNY THA BIZNESS 076/365,70,drilz LAYUP,11,0.0
559,-ZwwVf_anbU,A BEAT A DAY 😮‍💨 - DAILY iOS BEATMAKING from HENNY THA BIZNESS 204/365,70,nan,0,0.0
560,QOWF0KTNu2g,How I Reversed 20 years of Arterial Plaque,42,PrevMed How REVERSED i i 20 YEARS of Arterial Plaque,52,0.0
561,NTmdg8YVs0s,The Real Difference Between LDL & HDL: Apo A1 & Apo B,53,Difference The Real LBL & HDL: Between Apo A1 B d,49,-0.0745
562,_NbtT8c9sv8,CycloDextrin: It Dissolves Cholesterol Crystals: Miracle Drug?,62,CYCLODEXTRIN: Dissolves Cholesterol lt Crystal Miracle Drug?,60,0.194
563,gKXe7kLXb0c,Lp Little (a) : A New Perspective,33,Causing LDL S Attacks? Heart,28,-0.3555
564,wNG2TbDKMfU,MANAGING CV RISK: AUTOPHAGY/FASTING Biomarkers: David Sabatini & MTOR,69,MANAGING cv RISK: i AUTOPHAGY/FASTING Biomarkers,48,-0.3515
565,6kD1awU2aQ0,"Fasting, Cancer & Prolon (FMD)",30,"Fasting, Cancer Prolon & (FMD）",30,-0.595
566,Eb1fwobiD_8,Do you really need to take Aspirin and Statins? Watch This Video First!,71,PrevMed need Do really take to you Aspirin and Statins? This Video Watch First!,79,0.0
567,lKzcShfVXuo,You Improved Your Lifestyle: and your calcium score INCREASED?!?,64,Lifestyle: you 10lol your eos calcium and your score a INCREASED?!? PrevMed,75,0.129
568,6zgTaLwsUqc,BMI vs Belly Fat - Using AI to Predict Heart Attack & Stroke Risk,65,Heart Attack Prediction: ct abdominal A BMI & VS PrevMed,56,-0.1535
569,rLOTTGM1W_Q,#SHORTS Can K2 Improve Autophagy?,33,PrevMed e  prevmedheaith.com t,30,0.0
570,lWV44XmPLYM,Is this New Antioxidant Safe? (LIVE),36,LIVE Antioxidant this new ls Safe?,34,0.024499999999999994
571,FcwFTVizjIY,Too Much Focus on Cholesterol,29,PrevMed Much Cholesterol Focus Too on,37,0.0
572,lTjJrk4uZC4,#SHORTS Low LDL is that a problem,33,premed prenmed shorts t LoW LDL is that PROBLEM? a,50,-0.5125
573,1A20wkgkMa8,Watch This Before Taking Supplements,36,Supplements vs Lifestyle PrevMed,32,0.0
574,cICN8MV5Nr0,Zucchini Casserole - You Can’t Outrun - or Outprescribe - a Lifestyle Problem,77,"Zucchini casserole Easy,Hea Ithy，Yum Easy Healthy, Yummy!",57,0.22349999999999998
575,SsT2UBaB2ZI,Prevention Myths Book:  Vascular Function Tests (LIVE),54,LIVE now PREVENTION MYTHS PREVERION amazon Prevention myths Book Function Vascular Tests,88,0.157
576,aiRFznFEcQA,Interview with Drs McClatchie & Goulder of the Heart Attack & Stroke Prevention Center,86,interview with mcclatchie goulder 8 Drs of attack the heart & Stroke Prevention Center,86,-0.22
577,lrPJ-Zrmv6Y,Repurposing Old Drugs Against COVID-19,38,Repurposing Old Drugs Against COVID-19,38,-0.0625
578,tKurWiCxNHc,"Carbs in Beer part 2: Wines, Whiskeys and Beer",46,CARBS IN BEER WINE oy mo o daeseo LIOUOR,40,0.0
579,NgKYgqt_fRA,"We've Got a Web Forum! Join and Prevent Heart Attack/Stroke, Cancer, Dementia, Disability",89,Web We'Ve got Forum a lsl  sss UTLOL STROKE prevention s o http://forum. PrevMedHeartRisk.com,93,-0.04100000000000001
580,v4pTNzN_hbg,Philips OneBlade Review - 6 Months Later,40,S 6,3,0.0
581,T1ixVNtM69I,How to Start a Smart Home in 2021,33,Smart Home S D 6,16,0.52
582,myRkDQ8dVec,Apple Watch Series 8 Review - 6 Months Later,44,MON Worth 3 It? 4H17M 40 田 6,28,0.161
583,ndzfbMS7upU,iPad Air (2020) Review - One Month Later,40,2:32 国 D000007648 一 6,21,0.0
584,uUIFK7i9lek,iPhone 12 Review - 6 Months Later,33,iPhone 12 6,11,0.0
585,mGNRIRPMIVk,Tesla Model 3 Review - 2 Years Later,36,6,1,0.0
586,zIFLUVtU7aM,Google Home Review - 6 Months Later,35,6 GOOGLE HOME Months 6 Later,28,0.0
587,0bjbykvtmKw,Google Pixel 5a Review - One Month Later,40,6,1,0.0
588,GlwLMs1cjdU,"Google Home Features Update 3: Games/Trivia, bedtime stories, night mode",72,6 GOOGLE HOME FEATURES UPDATE Winter 2018,41,0.1875
589,22v__7HSSwY,Tesla Model 3 Features Update - June 2019,41,6,1,0.0
590,EqrIt4Q_Sck,iPad Pro Review - 6 Months Later,32,9:4 92% 6,9,0.0
591,hibFV0HKwvw,Sony LinkBuds Review - 6 Months Later,37,Worth It? 6,11,0.3275
592,95PAfV_SwXE,How MATTER changes the SMART HOME - the 3 DEVICES YOU NEED!,59,matter,6,0.6905
593,cou-wVNxYmY,Serena Smart Wood Blinds by Lutron Review - 6 Months Later,58,6,1,0.0
594,p4cKDOA-nD0,Apple HomePod 2 Review - 6 Months Later,39,Worth It?,9,0.21500000000000002
595,CL-kIbr25Fc,Google Tried to Fix Email - Why It Failed,41,M 6,3,0.0
596,4TES-BjZrVM,Top 6 Tech Gifts 2018,21,米 米 必 米 米 米 米 米 32° 米 心 米 米 米 米 6,33,0.2675
597,kwQuTvsSBug,E-Ink Tablets Are More Exciting Now,35,nan,0,0.2055
598,TEGYGfunXzY,Will #spotify and #youtubemusic finally be available on Apple’s #homepod ?,74,siri support SF suel sups airplay for  e t 1omeP on ort,55,0.1155
599,7IIz8wgEMfI,Apple TV 4K Unboxing,20,6 APPLETV4K Unboxing,20,0.0
600,ctONKQByx-M,Watch this video before using Atlas OS Windows,46,LINUS'S A WORST EVER TECH TIP,29,-0.253
601,9Z3f6tpMxKs,Pipewire: This Is The Future Of Linux Audio!,44,PIPEWIRE WILLSAVE LINUX AUDIO,29,0.0
602,FyS8ELbafN0,FOSS Minecraft Launcher Destroyed By Rogue Founder,50,STOP DESTROYING FOSS PROJECTS!,30,-0.586
603,SngOMRQ3gDI,Hyper: This JavaScript Terminal Isn't As Terrible As Expected,61,WHY MAKEA TERMINALIN JAVASCRIPT??,33,0.1835
604,rDUI39isAKg,How To Configure Multi Monitor In Wayland Sway,46,WHYCAN'T XORGBE THIS EASY!,26,-0.4095
605,Apijg2MvbvQ,This Is The Greatest Image Editor On Linux,42,EVEN GIMP CAN'T SURPASS THIS!!,30,0.0
606,kDstiF3gAwI,Is i3WM The Best Tiling Window Manager For Beginners?,53,3WMTHEBEST TILING WM FOR BEGINNERS?,35,-0.04450000000000001
607,PDu1e6S_gWw,Which Ls Replacement Will I Keep Around Exa vs Ls Deluxe,56,EXA VSLSD WHI will 三 BE my LS REPLACEMENT,41,-0.135
608,nQU-Hq5MnOE,Privacy Redirect To A More Friendly Alternative,47,REDIRECT N TOA PRIVATE LIFE,27,0.0
609,Qwfiw03FAmM,Overview Of The Different Kinds of Window Managers,50,DIFFERNT THE KINDS OF WINDOW MANAGERS,37,0.2115
610,Txg6JvqMjfk,Systemd Has Never Been An Init System,37,SYSTEMD IS MORE THAN AN INIT,28,0.206
611,NwvJIJFy_oQ,YouTube Is Being DESTROYED By Spam Bots,39,YOUTUBE'S SPAM BOT TAKEOVER,27,-0.2275
612,upjSLLd7qZc,Log4J Vulnerability Isn't Going Anywhere Soon,45,NOTHING WRONG AT ALL!,21,0.2435
613,zRekXAeJAsQ,Unicode Domains Are An Absolute Hack,36,WHATIN THE WORLDIS PUNYCODE,27,0.0
614,7BZ-AhjQ6fw,Turning Vim Into A Comfy IDE Takes Too Much Effort,50,ti Staying m With My Editor code,32,0.0
615,fOD5bSD2GCo,Xorg Xinput: Toggle On/Off Any Input Device,43,XORG XINPUT OGGLEONZC any INPUI DEVICE,38,0.0
616,bXzBCmU-E9w,Software Minimalism: Is There More To It Than Lines Of Code,59,SOFTWARE MINIMALISM ITSMORE THAN CHELINNE in HECODEBASE,55,0.0
617,k4ZlOf0ev60,CONSOOM All Your PODCASTS From Your Terminal With Castero,57,TERMINALIS ALLYOU NEEDFORA PODCAST!,35,0.0
618,W3OQKDaTPqs,【Community Chat】I Wonder Who We'll See,38,CHATTING WITH THE PATRONS,25,-0.262
619,sjS9NEqz3ZI,Week in Review 11/08/2019 Sick Edition,38,weekin ew 1708201 Edition Sick,30,-0.42500000000000004
620,BMU5th0uBys,Is It Still Worth It To Get The PSVR In 2018? Playstation VR Review - Buy Or Pass?,82,PSVR: STILL WORTH it T GET 2018? N micd 7V,42,0.1985
621,h40OQcbtHa8,OMG! THIS MICRO OLED VR HEADSET IS INSANE! - Through-The-Lens Of The Arpara 5k!,79,ARPARA 5K nicroOLED m THE THROUGH LENS,38,0.165
622,ZXYPyxxnQSI,I Just Had My First 3D Videocall & IT'S A GAMECHANGER! - Leia Lume Pad 2 Review,79,LUMEPAD2 MIND: BLOWN!,21,0.0
623,jznc6hYoq54,"MRTV LIVE - Quest 2 vs. Reverb G2, G2 Tracking, WMR Update, Oculus Link Update & 50K Subs AMA!",94,nan,0,0.1515
624,35CZ8XX_3-Y,The CHEAPER And BETTER Oculus Link Cable Alternative - VR Cover Premium USB-C Cable For Quest 2,95,OCULUS CABLE LINK ALTERNATIVE VE CHEAPER BETTER 8 Budget,56,0.274
625,sFGKMFVQzJI,"VIVE COSMOS IN 2020 - Is Tracking Still Bad? - Checking It Out With Contractors, Onward & Pavlov",96,VIVE COSMOS 2020,16,0.0
626,Mc7thMc1Amk,Improved Bigscreen Beyond - How Good Is It? FOV Now Big Enough?,63,nan,0,0.0
627,oqSs6BY1t58,PICO 4 THROUGH THE LENS - Why The Pico 4 Is The Best Wireless PCVR Headset Right Now!,85,THROUGH THELENS,15,0.1215
628,YTan4wTdQj0,"Next Dimension Podcast - S2E20 - Moss Book 2, Cambria Leaks, Pimax 8KX",70,NEXT DIMENSION PODCAST BOOKII,29,0.0
629,Fp2M_8O9-uo,MAGNETICALLY CHARGE YOUR OCULUS QUEST - AMVR Magnetic Charging Stand Review - Is It Worth The Money?,100,MAGNET!,7,0.0595
630,-FxhlhOY3vw,CES 2020: Trying Nolo VR Tracking as used on Pimax Artisan,58,nan,0,0.0
631,fDy_8JjhT5Q,The NEW PSVR2 CONTROLLERS Have THIS ONE HUGE KILLER FEATURE!,60,MRTV DSVR2 CONTROLLE,20,-0.07050000000000001
632,uasF6Wqm0pM,Next Dimension Podcast - S3E7 - Pimax Portal - Genius or Madness,64,NEXT DIMENSION PODCAST,22,0.0
633,n-AeHgAxnuo,"MRTV LIVE #9: Skyrim VR for PC, Oculus Go & Mirage Solo Launches, RPO Reviews, HTC SWEATGATE",92,MRILM LIVE SKYRIIM VR pc #2 STANDALONE LAUNCHES ton,51,0.1125
634,WXujMJXyKLA,SYNAPSE FOR PSVR 2 IS FANTASTIC - Gameplay & First Impressions,62,SYNAPSE,7,0.0
